time,ug2_Hs,ug2_Tp,ug2_Tp_ds,ug2_Tm01,ug2_Tm01_ds,ug2_Tm02,ug2_Tm02_ds
08/10/2021 20:30,2.76058511,9.473684211,6.05636408,9.07758565,8.120298735,8.411638995,7.85123717
08/10/2021 21:00,2.551491252,8.571428571,6.739856407,8.537708981,7.365422428,7.918860682,7.195685625
08/10/2021 21:30,2.454929041,10,6.601995083,8.340892249,6.403245719,7.717633134,6.220579263
08/10/2021 22:00,2.565562557,10.58823529,7.231498652,8.717937738,7.668442669,8.10891998,7.433900521
08/10/2021 22:30,2.499087174,10,6.604077978,8.79439979,7.034415192,8.084588049,6.767701131
08/10/2021 23:00,2.330788326,9.473684211,6.379096816,8.78842213,7.244289264,8.081644989,6.964542614
08/10/2021 23:30,2.352803647,10,6.967393405,8.737892713,7.331295956,8.055414284,7.055872933
09/10/2021 00:00,2.448011536,16.36363636,14.06137021,8.764724093,7.555092466,8.011188561,7.186355957
09/10/2021 00:30,2.285573259,9.473684211,6.597577492,8.702289506,7.371198567,7.992455745,7.085754903
09/10/2021 01:00,2.306962102,16.36363636,14.20334386,8.894633328,7.700350943,8.064516138,7.292936231
09/10/2021 01:30,2.315740238,16.36363636,14.22905684,9.095562558,7.562423634,8.169440011,7.030861626
09/10/2021 02:00,2.593696694,16.36363636,14.30941493,9.381520792,7.621350662,8.437498583,7.061096548
09/10/2021 02:30,2.445255948,10.58823529,7.937757734,9.331459773,7.879672805,8.457055338,7.49769525
09/10/2021 03:00,2.360570641,16.36363636,13.7525883,9.583343305,7.828646201,8.71289766,7.478590581
09/10/2021 03:30,2.294376732,9.473684211,7.119229631,8.781718952,7.319391099,8.002056713,6.90308153
09/10/2021 04:00,2.378806914,9.473684211,7.172056663,8.779462104,7.482583625,7.992006282,7.073081014
09/10/2021 04:30,2.37320977,16.36363636,14.06037948,9.248539418,7.919559107,8.369381836,7.49653247
09/10/2021 05:00,2.269693679,16.36363636,14.25287118,8.820877735,7.31608295,8.009780974,6.872771954
09/10/2021 05:30,2.477290293,16.36363636,14.37780181,9.258096718,7.824393857,8.36699056,7.316467546
09/10/2021 06:00,2.134548895,10,7.37234232,8.828893196,7.883406337,7.943406468,7.476187039
09/10/2021 06:30,2.376876743,10,7.596718679,9.330705982,7.906486684,8.421114446,7.454401477
09/10/2021 07:00,2.280588103,18,16.06843823,9.011836064,7.200259829,8.096569047,6.589481395
09/10/2021 07:30,2.451954011,16.36363636,14.51575443,9.47799108,7.403242747,8.553682818,6.815264794
09/10/2021 08:00,2.497892956,16.36363636,14.33853589,9.296408763,7.291667797,8.413956073,6.714118006
09/10/2021 08:30,2.281970843,16.36363636,14.38584801,9.525341963,7.7257281,8.519170299,7.122477548
09/10/2021 09:00,2.156455355,16.36363636,14.43802735,8.92596596,7.159454093,8.06387678,6.651834556
09/10/2021 09:30,2.383879998,16.36363636,14.49677038,9.133158037,6.854735048,8.35866279,6.360384592
09/10/2021 10:00,2.327403353,16.36363636,14.28883697,9.349658564,7.755374551,8.512869523,7.293638851
09/10/2021 10:30,2.233587761,10.58823529,8.313005322,8.978872996,6.890982207,8.189538189,6.429119358
09/10/2021 11:00,2.49012127,16.36363636,14.22554813,9.355485539,7.044852793,8.524762781,6.561707724
